ID,createdate,closedate,contract_signed_at,spin_at,proposal_at,mrr,lost_reason,prob,country,drs,stage,paid_at,deals,spins,proposal,contract_signed,won,lost,size,no_show,lost_after_spin,paid_clinics,month_created,month_spin,month_proposal,month_contract,month_paid,month_closed,MRR number value,Drs - number value,True size
8389143450,2022-03-29,2022-04-12,2022-04-06,2022-03-31,2022-03-31,6.695,,1,Mexico,5,Closed won,,1,1,1,1,1,0,small (2-5),0,0,0,2022-03-01,2022-03-01,2022-03-01,2022-04-01,,2022-04-01,6.695,5,small (2-5)
8390572093,2022-03-29,2022-04-21,,,,273,Abandoned,3,Italy,6,Closed lost [set-lost],,1,0,0,0,0,1,medium (6-10),1,0,0,2022-03-01,,,,,2022-04-01,273,6,medium (6-10)
8392449834,2022-03-29,2022-05-03,,2022-03-30,2022-03-30,936,No Interest,1,Brazil,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-03-01,2022-03-01,2022-03-01,,,2022-05-01,936,3,small (2-5)
8393725112,2022-03-30,2022-04-07,,2022-04-06,2022-04-06,5.696,No Product Fit,2,Mexico,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-03-01,2022-04-01,2022-04-01,,,2022-04-01,5.696,4,small (2-5)
8396966672,2022-03-30,2022-05-03,,2022-04-19,2022-04-20,187,Postponed,2,Spain,2,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-03-01,2022-04-01,2022-04-01,,,2022-05-01,187,2,small (2-5)
8402121804,2022-03-30,2022-07-18,2022-05-06,2022-04-26,2022-05-04,489,Decision-maker Changed,,Italy,10,Closed lost [set-lost],,1,1,1,1,0,1,medium (6-10),0,0,0,2022-03-01,2022-04-01,2022-05-01,2022-05-01,,2022-07-01,489,10,medium (6-10)
8402447284,2022-03-30,2022-05-02,,2022-04-07,2022-04-07,224,Price too high,1,Spain,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-03-01,2022-04-01,2022-04-01,,,2022-05-01,224,5,small (2-5)
8403923085,2022-03-30,2022-04-26,,,,,Abandoned,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-03-01,,,,,2022-04-01,,,
8404937300,2022-03-30,2022-05-02,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-03-01,,,,,2022-05-01,,,
8657059858,2022-04-19,2022-05-04,,2022-04-25,,737,[CA] Fit for another Doctoralia product,2,Brazil,2,Closed lost [set-lost],,1,1,0,0,0,1,small (2-5),0,1,0,2022-04-01,2022-04-01,,,,2022-05-01,737,2,small (2-5)
8657336701,2022-04-19,2022-05-16,,2022-04-27,2022-04-30,919,Insufficient Funds,1,Italy,60,Closed lost [set-lost],,1,1,1,0,0,1,extra (>25),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,919,60,extra (>25)
8657394733,2022-04-19,2022-05-24,,2022-04-22,2022-04-22,166,[CA] Fit for another Doctoralia product,2,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,166,3,small (2-5)
8658252631,2022-04-19,2022-04-24,,2022-04-24,,936,[CA] Clinic wants EHR (BR),1,Brazil,3,Closed lost [set-lost],,1,1,0,0,0,1,small (2-5),0,1,0,2022-04-01,2022-04-01,,,,2022-04-01,936,3,small (2-5)
8658451529,2022-04-19,2022-06-06,,2022-04-20,2022-04-20,2.403,Postponed,1,Brazil,16,Closed lost [set-lost],,1,1,1,0,0,1,big (16-20),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-06-01,2.403,16,big (16-20)
8660791641,2022-04-19,2022-05-04,,2022-04-20,2022-04-20,1.758,Postponed,2,Brazil,11,Closed lost [set-lost],,1,1,1,0,0,1,large (11-15),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,1.758,11,large (11-15)
8661714548,2022-04-20,2022-07-01,,2022-04-20,2022-04-20,4.697,Postponed,3,Mexico,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-07-01,4.697,3,small (2-5)
8665544042,2022-04-20,2022-04-26,,,,,Abandoned,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-04-01,,,
8665784124,2022-04-20,2022-05-11,,,,,No Interest,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8666658060,2022-04-20,2022-05-02,,2022-04-20,2022-04-22,499,Abandoned,2,Italy,11,Closed lost [set-lost],,1,1,1,0,0,1,large (11-15),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,499,11,large (11-15)
8667511217,2022-04-20,2022-05-05,,2022-04-27,2022-04-27,166,Postponed,2,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,166,3,small (2-5)
8667711827,2022-04-20,2022-05-02,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8669980557,2022-04-20,2022-04-29,,,,3.698,Abandoned,,Mexico,2,Closed lost [set-lost],,1,0,0,0,0,1,small (2-5),1,0,0,2022-04-01,,,,,2022-04-01,3.698,2,small (2-5)
8671548296,2022-04-21,2022-06-06,,2022-04-27,,5,Abandoned,,Italy,5,Closed lost [set-lost],,1,1,0,0,0,1,small (2-5),0,1,0,2022-04-01,2022-04-01,,,,2022-06-01,5,5,small (2-5)
8672571540,2022-04-21,2022-05-20,,,,,Abandoned,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8672714763,2022-04-21,2022-10-31,,,,,,,Poland,6,Initial contact,,1,0,0,0,0,0,medium (6-10),0,0,0,2022-04-01,,,,,2022-10-01,,6,medium (6-10)
8673637019,2022-04-21,2022-06-07,,2022-04-26,2022-04-26,605,Postponed,1,Spain,14,Closed lost [set-lost],,1,1,1,0,0,1,large (11-15),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-06-01,605,14,large (11-15)
8677127193,2022-04-21,2022-05-27,,2022-04-22,2022-04-22,3.698,Postponed,2,Mexico,2,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,3.698,2,small (2-5)
